WEDNESDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
C-21 Academic Block II (50),"CS3014-AHCI BCS-6G
Jibran Rasheed Khan","CS4045-DLP BAI-6A
Dr. Kamran Ali","CY4045-BLKC BCY-6A
Nouman Rajput","CY3005-NS BCY-6A
Dr. Sufian Hameed",,"AI2002-AI BCY-6A
Sandesh Kumar","CY4001-SSD BCY-6A
Ali Naseer Shah",,
D-22 Academic Block II (50),"CS2012-TBW BCS-6J
Mariam Aftab","CY3004-FMA BCY-6B
","CY3004-FMA BCY-6A
","CY4001-SSD BCY-6B
Ali Naseer Shah","AI2002-AI BCY-6B
Sandesh Kumar","CS3009-SE BCS-6H
Ahmed Qaiser (VF)","CS2012-TBW BCS-6H
Nazia Imam",,
D-23 Academic Block II (50),,,"CS4053-RS BAI-6A
Zain ul Hassan",,,,,,
D-24 Academic Block II (50),,,,"MT1013-CAL BCS-2A
Rabia Sageer","MT1013-CAL BCS-2A
Rabia Sageer",,,,"LA BCS-4A
Rabia Sageer"
D-25 Academic Block II (50),,,"MT2005-Prob BCS-4B
Dr. Khusro Mian","AI2002-AI BCS-4B
Abeeha Sattar","CS2005-DBS BCS-4B
Dr. Farrukh Salim","CS2006-OS BCS-4H
Zulfiqar Rafique","CS3004-SDA BCS-4H
Jibran Rasheed Khan","CS3004-SDA BCS-4H
Jibran Rasheed Khan",
D-26 Academic Block II (50),"CS3004-SDA BCS-4D
Dr. Muhammad Yaseen","CS2006-OS BCS-4D
Dr. Ghufran Ahmed","CS2006-OS BCS-4D
Dr. Ghufran Ahmed",,"MT2005-Prob BCS-4C
Dr. Khusro Mian","AI2002-AI BCS-4C
Dr. Shakil","CS3004-SDA BCS-4C
Syed Ahmed Khan","AI2002-AI BCS-4J
Dr. Shakil",
D-27 Academic Block II (50),"MT2005-Prob BCS-4E
Syed Ashad",,,,"AI2002-AI BCS-4D
Abeeha Sattar","CS2006-OS BCS-4E
Minhal Raza",,"CS2006-OS BCS-4A
Dr. Ghufran Ahmed","CS3004-SDA BCS-4E
Syed Ahmed Khan"
D-28 Academic Block II (50),"CS2005-DBS BCS-4F
Shoaib Rauf","AI2002-AI BCS-4F
Dr. Farrukh salim","CS2005-DBS BCS-4E
Zainab Asif","CS3004-SDA BCS-4E
Syed Ahmed Khan",,"MT2005-Prob BCS-4A
Nadeem Arif Khan","CS2005-DBS BCS-4A
Basit Jasani","MT2005-Prob BCS-4F
Alishba Tariq","MT2005-Prob BCS-4F
Alishba Tariq"
E-29Academic Block II (52),,"CS2005-DBS BCS-4H
Basit Jasani","CS2005-DBS BCS-4H
Basit Jasani","AI2002-AI BCS-4H
Dr. Farrukh salim","CS2005-DBS BCS-4G
Zainab Asif","CS2006-OS BCS-4G
Syed Faisal Ali",,"CS3004-SDA BCS-4G
Maqsood Khatoon ",
E-30 Academic Block II (52),"CS2005-DBS BCS-4J
Shoaib Rauf","CS2006-OS BCS-4J
Ubaidullah",,,,,,,
