MONDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
E-35 Academic Block II (52),,"MT1008-MVC BDS-2A
Moheez Ur Rahim","CS1004-OOP BDS-2A
Saif ur Rehman","SS1015-PST BCY-2B
Wajiha Najam (VF)","EE1005-DLD BCY-2B
Abuzar Zafar","SS1019-UOS BCY-2B
Immad uddin",,"CS1004-OOP BAI-2C
Talha Shahid",
LLC Academic Block I (R7) (50),,,,"SS1014-EW Lab BSE-2A
Qurat ul Ain",,,"SS1014-EW Lab BDS-2A
Sharmeen Ismail",,
C-20 Academic Block II (50),"SS1014-EW Lab BAI-2A
Reema Brohi",,,"SS1014-EW Lab BCS-2E
Faiza Mumtaz",,,"SS1014-EW Lab BCY-2A
Tahira Abdul Hakeem",,
Eng Lang Room  Academic Block II (50),"Eng-II lab BSFT-2C
 Javeria Ali Wadho",,,"Eng-II lab BSFT-2E
 Huma Hafeez",,,"Eng-II lab BSBA-2A
Wajiha Akber ",,
COMPUTING LABS,,,,,,,,,
Academic Block I LAB-1 (49),"CL2005-DBS Lab BCS-4B
Ramsha Iqbal",,,,,," BRDM Lab BSFT-6A
Sardar Ahmed ",,
Academic Block I CY LAB-2 (48),"CL2006-OS Lab BCS-4D
Fatima Gado",,,,,,"CL2006-OS Lab BCS-4F
Fatima Gado",,
Academic Block I LAB-3 (47),"CL2005-DBS Lab BAI-4A
Muhammad Khalid Khan",,,"AL2002-AI Lab BCS-4E
Ramsha Jatt",,,"AL2002-AI Lab BCY-6B
Mehak Mazhar",,
Academic Block I LAB-4 (46),"PB Lab BSFT-2D
Sardar Ahmed ",,,,,,"CL1004-OOP Lab BCS-2J
Zainab Asif",,
Academic Block III LAB-5 (52),"PB Lab  BSFT-2A
Shahzaib",,,"CL1004-OOP Lab BCS-2D
Muhammad Owais",,,"AL2002-AI Lab BCS-4K
Gule Zahra",,
Academic Block II DS LAB-6 (52),"EL1005-DLD Lab BCS-2A
Seema Hashwani",,,"EL1005-DLD Lab BCS-2F
Osama Tahir",,,"EL1005-DLD Lab BCS-2B
Fareeha Jabeen",,
Academic Block II LAB-7 (45),"CL1004-OOP Lab BCS-2C
Kinza Fatima",,,,,,"CL1004-OOP Lab BCS-2H
Qasim Keeryo",,
